FilePath, entropy, 
problem1, 0.684324875863431
problem3, 0.714652124940793
problem4, 0.817513537227307
problem5, 0.737123223011777
problem9-1, 0.729866597519159
problem101-1, 0.7851270067008
problem6-1, 0.75895373585333
problem6-2, 0.695848285737222
problem6-3, 0.608609269574768
problem7-1, 0.747288071607023
problem7-2, 0.708052839133591
problem7-3, 0.613111036409187
problem8-1, 0.747192521334255
problem8-2, 0.706291998693425
problem8-3, 0.610999585172456
problem10-1, 0.725671559573593
problem11-1, 0.756560598063605
problem12-1, 0.782079351417695
